text,size
jjsasha,1
joanne,1
job,1
joemiddleroad,1
joenbc,1
johnbolton,7
johndotbastable,1
johnkasich,1
join,1
joke,2
jones,1
jonronson,3
joshchin,1
joshgladwin,1
journalist,1
joy,1
joyannreid,1
jricole,1
julianpentest,5
juliantorrente,1
juliatetley,2
junior,1
justice,1
justininc,1
kalihai,1
kaskade,1
kathleenharrym,67
kathygriffin,3
katieschwartz,1
katy,4
katyisdsupt,1
kay,1
keep,3
keepalive,1
keeping,1
kendalljones,2
kenrberts,10
kickstart,1
kid,3
kill,3
killed,1
killer,16
killermike,1
killing,2
killingmurder,1
killintrusiont,12
kind,3
kindle,2
king,1
kingjames,1
kiss,2
kit,2
kitchen,2
kju,1
kkk,2
kkphotogal,1
kleb,1
klrwriter,1
km,1
knife,1
knive,1
know,32
knowmarried,1
known,3
konnnoorr,1
kthopkins,1
kug,1
kumailn,1
kurdistan,1
kylekashuv,1
l,3
la,1
lack,2
lady,1
lambsandiego,6
lance,4
language,2
lanza,1
late,2
latt,1
laugh,2
laundered,1
laundryman,3
laura,2
laurenhoggs,1
laurenwern,1
lauridmeizler,6
layover,2
ld,1
le,1
lear,2
learn,4
learned,6
learning,1
learns,35
learntoentertain,1
leash,1
leave,2
leeludlowart,3
leewolfx,3
lefitzpatrick,2
left,2
leftist,6
leftwingpropaganda,3
legit,1
leighmiranda,1
lesson,1
let,10
letting,1
liar,9
libert,3
lie,3
lied,1
life,117
lifeizgood,1
lifelong,2
lightworkers,2
like,48
likely,1
lil,1
lindseygrahamsc,2
linkgt,3
lionheart,2
liquatic,1
lisaaromano,2
list,1
listen,1
listened,2
little,3
liveteachlives,1
living,1
llaundryman,1
lmao,1
lo,1
locked,1
loesch,1
lofficielebony,1
logansteven,3
logic,2
lol,9
lolthe,1
londonmayor,3
look,18
looking,5
lorde,1
lose,2
loser,3
loses,46
lost,1
lostinjapan,1
loudertogether,1
louisallday,1
louisiana,1
lovable,2
love,20
lovebombing,1
lovefraud,10
lovesickteen,1
low,1
lower,2
luvfreedom,1
lvaloisxi,1
lying,7
mad,3
maddow,1
made,7
madeinchelsea,1
maga,1
magnificent,1
mainly,1
make,11
makecanadaga,1
making,1
man,6
mana,1
managed,1
manchild,1
mandymashburn,1
manifesting,1
manipulation,1
manipulative,2
many,16
manyfaces,1
mar,3
mara,1
march,3
marchforourlives,1
marebarpatriot,1
mariecreations,3
mark,1
markanthonyconditt,1
markdice,1
marksanford,1
marsh,2
martinshkreli,1
marydeal,88
maryland,1
masculine,1
mask,3
mason,81
mass,1
mattbarrs,1
matter,1
mattwalshblog,2
mauryriddick,1
may,8
maya,2
maybe,2
mcdonald,6
mcmurdo,6
mean,4
meanin,1
medical,2
medicating,1
medium,3
meehanascott,4
melber,1
melmahdy,1
memoir,1
men,1
mental,2
mentalhealth,18
mentalillness,1
mentality,1
mentally,3
mentallydisturbed,1
mentallyill,1
mercenary,22
merdealoco,2
merkel,1
messed,1
methis,2
mi,1
mia,46
mic,1
michael,1
michaelrapaport,1
mickmulvaneyomb,2
midnight,1
mig,1
migh,1
might,6
millennium,1
million,1
millionaire,1
min,1
mind,3
minute,5
miss,3
missingchild,46
missvertonghen,3
mistake,1
misteraleem,1
mistermisfit,1
mistreats,1
mittromney,1
modest,1
modeyellingcalling,1
mom,1
monkeybaatman,1
monster,2
mood,2
moodcards,1
mor,1
moral,2
morality,1
morganbmckean,1
morning,3
moron,2
mother,1
mourns,1
move,37
movie,1
mr,2
mrduck,3
msnbcs,1
much,22
mueller,2
murder,10
murdered,1
murderer,3
mushy,2
musician,1
must,3
mustread,1
mysoginist,1
myspacecom,1
n,1
naive,1
name,1
namikpaul,3
nancygrace,1
nancypelosi,1
nandannilekani,1
narcabusenomore,1
narcissism,1
narcissist,42
narcissistfree,1
narcissistic,3
narcissisticabuse,4
narcissisticpersonalitydisorder,3
narcopat,1
natgeo,1
nation,2
national,2
nattyslacks,3
naturally,1
navyveteran,2
nazi,1
nearly,46
need,14
nephew,2
nerve,3
neuros,2
never,15
nevergiveup,1
nevertrustatory,3
neverwas,1
new,82
newbook,28
newbooks,1
newcover,28
newmusicfriday,1
news,2
newsography,1
next,2
nhpolitics,1
nice,1
nickel,1
night,2
nikolas,1
ninanesbitt,15
noahgraycnn,1
none,1
normal,11
nose,1
noted,1
nothing,2
noticed,1
notley,3
notleymu,2
notmyluke,2
nowh,1
nowhere,1
npd,7
npdabuse,2
npdeduaubcedubdueduaubdedubub,1
nra,2
nrasellout,1
nuclear,2
nugent,1
nuke,1
nutrish,4
nypd,1
obama,1
observation,1
obsessed,4
obsession,1
obummer,18
odd,2
offer,1
office,4
oh,3
oil,3
okay,2
old,12
ole,1
oncamera,1
one,19
oneduaubdedubud,1
onionpolitics,2
onlinedating,5
onlinesafety,6
onlyjeanseixasm,1
onthelineaus,13
operational,1
opportunity,1
opting,1
option,6
orchest,1
orchestrat,1
order,2
oreo,1
originaltdubya,1
orwill,1
others,3
otherwise,1
overdrive,3
p,3
page,2
pageturner,1
pain,5
palestinosimpre,1
paranoia,2
paranoid,2
parasitic,1
parent,1
parkland,6
part,2
partner,1
past,4
pastemagazine,1
pastorlocke,1
patdentauthor,12
pathetic,2
pathological,1
pauldakers,2
pauljimerson,1
paulmasonnews,1
pay,3
pehicc,3
pencil,1
people,29
peoplebernie,1
peoplesuck,1
per,2
perfectly,6
person,27
personal,5
personality,1
pesto,1
pestononsunday,1
peteregan,1
peterwmurphy,1
peteswildlife,2
petition,1
petitionucgovmattmeadprotect,1
photo,2
phrase,1
phrma,1
physical,3
pick,1
picture,3
piece,1
piglet,4
pilot,7
place,2
placed,1
plain,2
plan,6
plantation,2
play,1
please,7
pleasure,5
pm,1
po,1
poisoning,1
pol,1
police,1
policebrutality,1
politeness,2
political,1
politician,1
politics,1
poll,84
pond,1
poopy,1
poor,3
poppysmission,18
population,1
porn,8
portablenewsle,2
posing,1
possible,1
possibly,1
post,3
potential,1
potus,7
power,1
prateeklsd,3
pray,2
precisely,1
predator,4
predict,1
preppers,2
presentation,1
presideent,1
president,7
preston,1
pretty,1
previously,1
primeminister,3
prince,1
prison,3
privilege,1
probably,17
problem,2
problematic,1
prof,1
profit,1
projection,1
proletarius,2
promise,1
prophet,1
proposal,1
propped,1
protect,1
protectearth,1
protectwldlife,6
prove,1
proven,4
provoking,2
psupporter,1
psy,17
psych,11
psychiatric,3
psychiatry,1
psycho,4
psychodelic,1
psychological,2
psychologist,2
psychology,3
psychop,1
psychopa,25
psychopah,1
psychopat,1
psychopath,473
psychopathabusive,1
psychopathchild,2
psychopathic,12
psychopathinchief,2
psychopathology,2
psychopathwith,1
psychopathy,8
published,3
publishing,1
puppet,2
