text,size
wrong,4
wrongthe,1
wrote,4
wunderkind,1
year,15
yearms,1
yearold,1
yet,4
york,1
young,6
younger,1
youre,3
zachary,1
zone,1
